model,dataset,num_hidden,val_loss,val_acc,test_loss,test_acc,activation,distance
node_SOGNN,Actor,2,1.5702,0.2582,1.5729,0.2546,ReLU,10
node_SOGNN,Actor,2,1.5625,0.2603,1.5713,0.2539,ELU,10
node_SOGNN,Actor,2,1.5757,0.259,1.5834,0.2546,Tanh,10
node_SOGNN,Actor,3,1.5797,0.2582,1.5807,0.2546,ReLU,10
node_SOGNN,Actor,3,1.5776,0.2578,1.5788,0.2546,ELU,10
node_SOGNN,Actor,3,1.5758,0.2582,1.5797,0.2546,Tanh,10
node_SOGNN,Actor,5,1.5808,0.2582,1.5822,0.2546,ReLU,10
node_SOGNN,Actor,5,1.5844,0.2582,1.5863,0.2546,ELU,10
node_SOGNN,Actor,5,1.5777,0.2615,1.5791,0.2526,Tanh,10
node_SOGNN,Actor,10,1.5719,0.2582,1.5753,0.2546,ReLU,10
node_SOGNN,Actor,10,1.571,0.2627,1.573,0.25,ELU,10
node_SOGNN,Actor,10,1.572,0.2574,1.5761,0.2539,Tanh,10
